"CJID","0106165901248D502RJY0GTA511"
"PJID","0106165901253D502RJY0_1"
"Module Name","PM4"
"Wafer No","[4-01]"
"Recipe Class","Process/P4"
"Recipe Name","P-P4-VEGA16-R1"
"User","SERVICE"
"Lot Start Time","2025/01/06","17:06:21"
"Lot End Time","2025/01/06","20:54:58"

"LogType","Trace"
"Sampling Interval[sec]","0.10"

"Trace Start Time","2025/01/06","17:08:49"
"Trace End Time","2025/01/06","17:09:39"

"Interval","Step","ChamberPressure","ChamberPressure@","UpperRF","UpperRF@","LowerRF","LowerRF@","UpperRFReflect","LowerRFReflect","UpperVpp","LowerVpp","H2    (1)Flow","H2    (1)Flow@","none  (2)Flow","none  (2)Flow@","none  (3)Flow","none  (3)Flow@","C4F8  (4)Flow","C4F8  (4)Flow@","NF3 Lo(5)Flow","NF3 Lo(5)Flow@","CH2F2 (6)Flow","CH2F2 (6)Flow@","O2 Lo (7)Flow","O2 Lo (7)Flow@","CO2   (8)Flow","CO2   (8)Flow@","CF4   (9)Flow","CF4   (9)Flow@","none  (10)Flow","none  (10)Flow@","CHF3  (11)Flow","CHF3  (11)Flow@","N2    (12)Flow","N2    (12)Flow@","COS   (13)Flow","COS   (13)Flow@","O2 Hi (14)Flow","O2 Hi (14)Flow@","He    (15)Flow","He    (15)Flow@","Ar Hi (16)Flow","Ar Hi (16)Flow@","UpperTemp","UpperTemp@","WallTemp","WallTemp@","LowerTemp","LowerTemp@","LowerHeaterCurrent","LowerBRTemp","LowerBRTemp@","LowerEdgeTemp","LowerEdgeTemp@","LowerEdgeCurrent","EdgeHePress","EdgeHePress@","EdgeHeFlow","ESCVoltage","ESCVoltage@","ESCCurrent","APCPosition","APCTemp","APCTemp@","C1Pos(Upper)","C1Pos(Upper)@","C2Pos(Upper)","C2Pos(Upper)@","C1Pos(Lower)","C1Pos(Lower)@","C2Pos(Lower)","C2Pos(Lower)@","Imp.R(Upper)","Imp.Jx(Upper)","Imp.R(Lower)","Imp.Jx(Lower)","UpperFlowRate","LowerFlowRate","CPIPos.","CPIPos.@","CenterFlowRatio","CenterFlowRatio@","CenterGasPress","EdgeGasPress","Pin Torque","Pin Speed"
"sec","","mTorr","mTorr","W","W","W","W","W","W","V","V","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","degC","degC","degC","degC","degC","degC","%","degC","degC","degC","degC","%","Torr","Torr","SCCM","V","V","uA","deg","degC","degC","","","","","","","","","","","","","L/min","L/min","","","","","Torr","Torr","mV","mV"
"0.10","1","0.0","0.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","80.0","80.0","59.6","60.0","20.0","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","90.0","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","999.9","999.9","0.32","0.32","0.00","0.00"
"0.20","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","80.0","80.0","59.6","60.0","20.0","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","89.9","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","999.9","50.0","0.32","0.32","0.00","0.00"
"0.30","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.379","0.000","0.757","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.651","0.000","80.0","80.0","59.6","60.0","20.0","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","89.9","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.9","50.0","0.28","0.28","0.00","0.00"
"0.40","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.379","15.000","0.766","5.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.651","100.000","80.0","80.0","59.6","60.0","20.0","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","89.9","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.9","50.0","0.28","0.28","0.00","0.00"
"0.50","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.057","15.000","0.719","5.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.770","100.000","80.0","80.0","59.6","60.0","20.0","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","57.3","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.8","50.0","0.29","0.29","0.00","0.00"
"0.60","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.755","15.000","0.683","5.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.770","100.000","80.0","80.0","59.6","60.0","19.8","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","57.3","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.8","50.0","0.29","0.29","0.00","0.00"
"0.70","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.510","15.000","0.636","5.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.445","100.000","80.0","80.0","59.6","60.0","19.8","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","57.3","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.3","50.0","0.61","0.59","0.00","0.00"
"0.80","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.664","15.000","0.663","5.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.059","100.000","80.0","80.0","59.6","60.0","19.8","20.0","55","-10.0","-10.0","19.8","20.0","57","0.1","0.0","0.0","0","0","4","20.0","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.3","50.0","0.61","0.59","0.00","0.00"
"0.90","1","0.0","50.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","9.255","15.000","2.955","5.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","58.595","100.000","80.0","80.0","59.6","60.0","19.8","20.0","59","-10.0","-10.0","19.8","20.0","59","0.1","0.0","0.0","0","0","4","20.0","89.2","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.4","50.0","1.04","1.01","0.00","0.00"
