"CJID","0503233025966D514RH20GTA511"
"PJID","0503233025970D514RH20_1"
"Module Name","PM6"
"Wafer No","[1-06]"
"Recipe Class","Process/P6"
"Recipe Name","P-P6-VEGALITE45-R6"
"User","SERVICE"
"Lot Start Time","2025/05/03","23:30:33"
"Lot End Time","2025/05/04","00:55:49"

"LogType","Trace"
"Sampling Interval[sec]","0.10"

"Trace Start Time","2025/05/03","23:50:45"
"Trace End Time","2025/05/03","23:53:02"

"Interval","Step","ChamberPressure","ChamberPressure@","UpperRF","UpperRF@","LowerRF","LowerRF@","UpperRFReflect","LowerRFReflect","UpperVpp","LowerVpp","H2    (1)Flow","H2    (1)Flow@","none  (2)Flow","none  (2)Flow@","none  (3)Flow","none  (3)Flow@","C4F8  (4)Flow","C4F8  (4)Flow@","NF3 Lo(5)Flow","NF3 Lo(5)Flow@","CH2F2 (6)Flow","CH2F2 (6)Flow@","O2 Lo (7)Flow","O2 Lo (7)Flow@","CO2   (8)Flow","CO2   (8)Flow@","CF4   (9)Flow","CF4   (9)Flow@","none  (10)Flow","none  (10)Flow@","CHF3  (11)Flow","CHF3  (11)Flow@","N2    (12)Flow","N2    (12)Flow@","COS   (13)Flow","COS   (13)Flow@","O2 Hi (14)Flow","O2 Hi (14)Flow@","He    (15)Flow","He    (15)Flow@","Ar Hi (16)Flow","Ar Hi (16)Flow@","UpperTemp","UpperTemp@","WallTemp","WallTemp@","LowerTemp","LowerTemp@","LowerHeaterCurrent","LowerBRTemp","LowerBRTemp@","LowerEdgeTemp","LowerEdgeTemp@","LowerEdgeCurrent","EdgeHePress","EdgeHePress@","EdgeHeFlow","ESCVoltage","ESCVoltage@","ESCCurrent","APCPosition","APCTemp","APCTemp@","C1Pos(Upper)","C1Pos(Upper)@","C2Pos(Upper)","C2Pos(Upper)@","C1Pos(Lower)","C1Pos(Lower)@","C2Pos(Lower)","C2Pos(Lower)@","Imp.R(Upper)","Imp.Jx(Upper)","Imp.R(Lower)","Imp.Jx(Lower)","UpperFlowRate","LowerFlowRate","CPIPos.","CPIPos.@","CenterFlowRatio","CenterFlowRatio@","CenterGasPress","EdgeGasPress","Pin Torque","Pin Speed"
"sec","","mTorr","mTorr","W","W","W","W","W","W","V","V","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","SCCM","degC","degC","degC","degC","degC","degC","%","degC","degC","degC","degC","%","Torr","Torr","SCCM","V","V","uA","deg","degC","degC","","","","","","","","","","","","","L/min","L/min","","","","","Torr","Torr","mV","mV"
"0.10","1","0.0","0.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","80.0","80.0","60.7","60.0","19.9","20.0","62","-10.0","-10.0","19.7","20.0","61","0.1","0.0","0.0","0","0","1","90.0","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","999.9","999.9","0.32","0.32","0.00","0.00"
"0.20","1","0.0","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","80.0","80.0","60.7","60.0","19.9","20.0","62","-10.0","-10.0","19.7","20.0","61","0.1","0.0","0.0","0","0","1","90.0","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","999.9","50.0","0.32","0.32","0.00","0.00"
"0.30","1","0.0","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.252","0.000","0.000","0.000","14.417","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.994","0.000","80.0","80.0","60.7","60.0","19.9","20.0","62","-10.0","-10.0","20.0","20.0","61","0.1","0.0","0.0","0","0","1","85.5","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.9","50.0","0.28","0.28","0.00","0.00"
"0.40","1","-0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.252","7.000","0.000","0.000","14.417","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.994","100.000","80.0","80.0","60.7","60.0","19.9","20.0","62","-10.0","-10.0","20.0","20.0","61","0.1","0.0","0.0","0","0","1","85.5","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.9","50.0","0.28","0.28","0.00","0.00"
"0.50","1","-0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.178","7.000","0.000","0.000","12.396","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.829","100.000","80.0","80.0","60.7","60.0","19.9","20.0","62","-10.0","-10.0","20.0","20.0","61","0.1","0.0","0.0","0","0","1","85.5","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.5","50.0","0.29","0.29","0.00","0.00"
"0.60","1","-0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.103","7.000","0.000","0.000","10.376","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.407","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","48.6","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.5","50.0","0.29","0.29","0.00","0.00"
"0.70","1","-0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.029","7.000","0.000","0.000","8.808","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","3.829","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","48.6","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","47.8","50.0","1.06","1.10","0.00","0.00"
"0.80","1","-0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.562","7.000","0.000","0.000","7.287","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.118","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","48.6","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","47.8","50.0","1.06","1.10","0.00","0.00"
"0.90","1","-0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.255","7.000","0.000","0.000","6.054","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","63.002","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","12.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.9","50.0","1.72","1.70","0.00","0.00"
