Interval,Section No.,Pin Torque,Pin Speed
0.01,1,-35.00,11.25
0.02,1,-47.50,11.25
0.03,1,-103.75,6.25
0.04,1,-203.75,-2.50
0.05,1,-242.50,-73.75
0.06,1,-208.75,-152.50
0.07,1,-211.25,-191.25
0.08,1,-237.50,-233.75
0.09,1,-236.25,-286.25
0.10,1,-251.25,-328.75
0.11,1,-277.50,-370.00
0.12,1,-266.25,-426.25
0.13,1,-260.00,-458.75
0.14,1,-228.75,-488.75
0.15,1,-207.50,-496.25
0.16,1,-196.25,-500.00
0.17,1,-212.50,-486.25
0.18,1,-205.00,-496.25
0.19,1,-208.75,-487.50
0.20,1,-187.50,-483.75
0.21,1,-175.00,-445.00
0.22,1,-163.75,-408.75
0.23,1,-178.75,-355.00
0.24,1,-192.50,-311.25
0.25,1,-176.25,-273.75
0.26,1,-165.00,-226.25
0.27,1,-166.25,-172.50
0.28,1,-152.50,-126.25
0.29,1,-145.00,-80.00
0.30,1,-152.50,-47.50
0.31,1,-157.50,-26.25
0.32,1,-160.00,-15.00
0.33,1,-161.25,-6.25
0.34,1,-163.75,-2.50
0.35,1,-163.75,0.00
0.36,1,-163.75,0.00
0.37,1,-165.00,2.50
0.38,1,-167.50,1.25
0.39,2,-167.50,2.50
0.40,2,-181.25,0.00
0.41,2,-197.50,-7.50
0.42,2,-198.75,-26.25
0.43,2,-191.25,-37.50
0.44,2,-182.50,-45.00
0.45,2,-177.50,-45.00
0.46,2,-182.50,-42.50
0.47,2,-185.00,-41.25
0.48,2,-193.75,-41.25
0.49,2,-195.00,-45.00
0.50,2,-181.25,-51.25
0.51,2,-178.75,-47.50
0.52,2,-172.50,-47.50
0.53,2,-171.25,-46.25
0.54,2,-170.00,-47.50
0.55,2,-165.00,-48.75
0.56,2,-158.75,-47.50
0.57,2,-155.00,-45.00
0.58,2,-160.00,-45.00
0.59,2,-161.25,-42.50
0.60,2,-165.00,-43.75
0.61,2,-158.75,-46.25
0.62,2,-161.25,-46.25
0.63,2,-162.50,-46.25
0.64,2,-161.25,-43.75
0.65,2,-173.75,-42.50
0.66,2,-175.00,-45.00
0.67,2,-162.50,-52.50
0.68,2,-156.25,-51.25
0.69,2,-151.25,-50.00
0.70,2,-152.50,-45.00
0.71,2,-156.25,-43.75
0.72,2,-146.25,-48.75
0.73,2,-137.50,-50.00
0.74,2,-140.00,-45.00
0.75,2,-146.25,-42.50
0.76,2,-153.75,-40.00
0.77,2,-152.50,-45.00
0.78,2,-141.25,-48.75
0.79,2,-140.00,-46.25
0.80,2,-143.75,-46.25
0.81,2,-145.00,-43.75
0.82,2,-148.75,-43.75
0.83,2,-138.75,-48.75
0.84,2,-131.25,-50.00
0.85,2,-132.50,-47.50
0.86,2,-132.50,-47.50
0.87,2,-131.25,-46.25
0.88,2,-126.25,-46.25
0.89,2,-125.00,-48.75
0.90,2,-120.00,-45.00
0.91,2,-123.75,-43.75
0.92,2,-125.00,-46.25
0.93,2,-132.50,-40.00
0.94,2,-135.00,-42.50
0.95,2,-130.00,-46.25
0.96,2,-136.25,-45.00
0.97,2,-137.50,-46.25
0.98,2,-145.00,-42.50
0.99,2,-151.25,-43.75
1.00,2,-146.25,-48.75
1.01,2,-137.50,-50.00
1.02,2,-128.75,-51.25
1.03,2,-135.00,-45.00
1.04,2,-141.25,-41.25
